cell_data.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
 CELL     TYPE       X          Y      CO 
-----------------------------------------
AAC2763  CT0919   1723.570   1116.300   N
AAE3239  CT0103    967.490   1272.000  FS
AAG2755  CT0587   1683.010   1600.500   N
AAN9645  CT0704   1172.760   1272.000  FS
AAT4626  CT0587   1713.430   1168.500   N
AAU3875  CT0587   1678.330   1312.500   N
AAV2544  CT0839   1509.850    915.600  FS
ABG6343  CT0130   1478.780    964.200   S
ABK9837  CT0802   1011.040   1320.600  FS
ABR8990  CT0587   1676.120    988.500   N
ACF9876  CT0918   1404.290    953.400  FS
ACU9589  CT0284   1442.120    888.600   S
ACV8013  CT0631    926.930   1282.800  FS
ACZ0884  CT0196   1061.090   1266.600  FS
ADC3943  CT0900   1428.730    975.000   S
ADP7516  CT0587    493.120   1200.900  FN
ADQ7192  CT0704   1459.930   1056.000  FS
ADS1510  CT0587    492.600   1209.900  FN
ADV7737  CT0589   1372.310    969.600  FS
ADX2058  CT0064   1170.550   1336.800  FS
ADY8497  CT0839   1485.540   1039.800   S
AFP2792  CT0587   1718.630    700.500   N
AFZ9913  CT0182   1531.820    921.000   S
AGF7198  CT0900   1379.980   1007.400  FS
AGF7221  CT0587   1722.270   1348.500  FN
AGG9032  CT0587   1716.290    808.500   N
AGP3156  CT0631   1509.850    926.400   S
AGT7877  CT0587    432.150   1029.000   S
AGW6415  CT0587   1687.820   1132.500   N
AGY7507  CT0587   1679.890   1024.500   N
AHD8804  CT0704   1114.260   1250.400  FS
AHK7087  CT0794   1486.320    877.800   S
AHL0963  CT0623   1600.590    939.000  FS
AHM5076  CT0587   1701.600    628.500   N
AHS3028  CT0424   1516.610   1050.600   S
AHT3813  CT0587   1679.760   1456.500   N
AIE8364  CT0597    354.410   1428.600   S
AII4562  CT0587   1708.100    808.500   N
AIR3897  CT0198   1385.830    910.200   S
AIT6484  CT0587    368.450   1019.100  FN
AIW5313  CT0587    417.200   1616.700  FN
AIX3686  CT0587   1695.880   1744.500  FN
AJP9203  CT0587    830.080   1605.000   S
AJZ0547  CT0587    494.550   1212.600   S
AKO7176  CT0130   1362.170    996.600  FS
AKS0130  CT0918   1504.390    883.200  FS
AKV4241  CT0284   1070.840   1347.600  FS
ALD6481  CT0887   1700.560   1471.800  FS
ALG3331  CT0587   1720.580   1492.500  FN
ALH3837  CT0847   1385.960    904.800  FS
ALM6823  CT0587    364.810   1630.200   S
ALV6044  CT0587   1698.350   1024.500   N
ALY9670  CT0587   1698.870   1420.500  FN
AMB7106  CT0587   1714.600    916.500   N
AME1453  CT0704   1460.710   1115.400  FS
AME7947  CT0198   1503.870   1110.000  FS
AMK6633  CT0918   1429.510   1023.600  FS
AMU3384  CT0587   1701.600    808.500   N
AMY6639  CT0284   1416.250    958.800   S
ANA7564  CT0587   1689.250   1384.500   N
ANF5070  CT0587   1703.160    916.500   N
ANN7955  CT0866   1042.370    488.100  FN
ANO9090  CT0587   1691.850   1456.500   N
ANT4072  CT0198   1082.670   1255.800   S
ANW3089  CT0561   1720.060    628.500   N
AOI2198  CT0839   1160.800   1288.200   S
AON4076  CT0845   1160.540   1600.500  FN
AOV4534  CT0587   1678.330    988.500   N
APH6300  CT0463   1596.300    497.100  FN
API3382  CT0629   1671.310    520.500   N
APO6855  CT0587    360.910   1026.300  FN
AQB4474  CT0587   1688.210   1312.500   N
AQU5655  CT0587   1706.280   1276.500  FN
AQU8019  CT0587   1689.380   1348.500   N
AQY3758  CT0587    387.820   1035.300  FN
ARA1973  CT0587   1686.130    664.500   N
ARA5167  CT0587   1699.910    844.500   N
ARQ6057  CT0900   1385.960   1002.000   S
ARR3418  CT0587    493.770   1219.800   S
ART3053  CT0198   1672.740   1168.500  FN
ASA9863  CT0587   1708.490   1528.500  FN
ASB6922  CT0587   1716.290    592.500   N
ASH8043  CT0900   1442.250    910.200   S
ASL2469  CT0064   1036.650   1272.000   S
ASM1181  CT0587    822.280   1604.100  FN
ASN4140  CT0150   1479.820   1077.600  FS
ASQ3471  CT0587    364.290    991.200   S
ASR5178  CT0918   1486.710    910.200  FS
ATK0552  CT0306   1149.490   1791.300   N
ATL4481  CT0587   1689.510   1636.500   N
ATR3015  CT0918   1467.340   1077.600   S
ATY2819  CT0587    573.850   1675.200  FS
AUE5877  CT0847   1479.040   1039.800   S
AUF4450  CT0587    466.210   1167.600   S
AUK6980  CT0587   1706.410    772.500   N
AUL8613  CT0587   1704.200    520.500   N
AUP0878  CT0587   1713.040   1132.500   N
AUS2816  CT0900   1383.620   1029.000   S
AVN9747  CT0623   1600.200    980.400   S
AWQ1917  CT0587    498.190   1578.000   S
AWZ1196  CT0900   1422.230    958.800  FS
AXA9246  CT0626   1528.830   1034.400  FS
AXD9601  CT0900   1371.400   1039.800   S
AXH0921  CT0629   1670.140    592.500   N
AXL5269  CT0704   1429.250    877.800  FS
AXT5969  CT0587    678.370   1700.400   S
AXU0039  CT0198   1142.340   1320.600   S
AYC6179  CT0704   1079.550   1293.600   S
AYV9606  CT0918   1077.470   1358.400  FS
AYY1019  CT0587    658.090   1700.400   S
AZC3648  CT0198   1454.080    877.800   S
AZI8861  CT0839   1342.280    985.800   S
AZK5108  CT0587    763.260   1609.500  FN
AZM2079  CT0623   1600.720    986.700  FN
AZR8776  CT0561   1796.630    936.300   N
AZT4403  CT0587   1675.990    736.500   N
BAB9183  CT0918   1043.150   1250.400   S
BAH1586  CT0198   1172.500   1250.400  FS
BAO2659  CT0198   1386.610   1012.800  FS
BAO4496  CT0198   1503.870   1099.200  FS
BAP9781  CT0587    559.420   1605.900  FN
BAQ1355  CT0587    497.410   1547.400   S
BAX7589  CT0587   1706.280   1708.500   N
BBD9601  CT0198   1518.820   1056.000  FS
BBI6223  CT0631    973.990   1272.000  FS
BBL5083  CT0918   1019.360   1320.600   S
BBX2136  CT0704   1173.670   1342.200   S
BDB8634  CT0704   1104.510   1272.000   S
BDG4327  CT0587    670.830   1722.900  FN
BDT1202  CT0839   1124.790   1320.600   S
BDV3927  CT0587   1713.040    844.500   N
BDX3632  CT0587    376.510   1630.200   S
BEB6249  CT0900   1086.570   1277.400   S
BEC5546  CT0587   1704.720    916.500   N
BEE1841  CT0587   1681.450   1240.500   N
BEK3429  CT0587   1705.760    520.500   N
BEL0165  CT0176    937.590   1288.200   S
BEN9185  CT0900   1360.090    910.200  FS
BEQ9889  CT0198   1674.170    628.500  FN
BEY1455  CT0587   1715.380    988.500   N
BFA4129  CT0704   1536.370   1110.000  FS
BFC3689  CT0248    357.140   1370.100  FN
BFD6489  CT0900   1442.250    937.200  FS
BFE5564  CT0587    481.420   1599.600   S
BFG7366  CT0704   1441.990    872.400  FS
BFR5368  CT0629   1670.140   1060.500   N
BFU4929  CT0587    508.980   1600.500  FN
BGD9494  CT0587   1722.270   1492.500   N
BGE5551  CT0587   1683.140   1240.500   N
BGE9961  CT0150   1160.800   1309.800  FS
BGK7461  CT0839   1365.810    969.600   S
BGT0794  CT0587   1689.120   1096.500   N
BHA5123  CT0150   1372.570    931.800  FS
BHC3015  CT0587    497.280   1219.800   S
BHI7400  CT0198    845.940   1606.800  FS
BHK7675  CT0587    418.890   1564.500  FN
BHN1817  CT0130   1516.090    953.400   S
BHQ0743  CT0900   1454.340    921.000   S
BHS9859  CT0900   1367.630   1023.600  FS
BHY7494  CT0839   1519.730    969.600  FS
BHZ1873  CT0587   1703.810   1240.500  FN
BIC8284  CT0900   1061.090   1326.000   S
BII3978  CT0182    961.120   1272.000  FS
BIK8701  CT0704   1420.800    904.800   S
BIW1014  CT0561    344.010   1001.100   N
BIZ7508  CT0587   1686.260   1348.500   N
BJG6753  CT0182   1485.540   1045.200  FS
BJX6971  CT0587    398.350   1064.100  FN
BKD6012  CT0587   1691.070    916.500   N
BKJ7087  CT0561   1727.340   1132.500  FN
BKK6223  CT0587    785.620   1601.400   S
BKQ2200  CT0587    381.450   1003.800   S
BKW6826  CT0839   1504.000   1002.000  FS
BLE6226  CT0900   1160.670   1320.600   S
BLM2070  CT0198   1054.590   1309.800  FS
BLU4353  CT0064    988.550   1299.000   S
BMB2695  CT0103    931.220   1288.200  FS
BMB8163  CT0587    455.030   1411.500  FN
BMC0024  CT0587    373.520    994.800   S
BMF0406  CT0587    482.720   1163.100  FN
BML6317  CT0704   1160.540   1347.600   S
BMY1934  CT0306   1722.400   1064.100  FN
BNB0836  CT0198    865.180   1288.200   S
BND3150  CT0802   1459.540   1034.400   S
BNJ4055  CT0587   1675.470    772.500   N
BNN4997  CT0918   1076.690   1320.600  FS
BNS9759  CT0629   1670.140   1456.500   N
BOD5862  CT0198    865.180   1277.400   S
BOW6477  CT0589   1338.380    975.000  FS
BOW8930  CT0900   1178.870   1250.400   S
BPX3387  CT0704   1080.200   1277.400   S
BPY0077  CT0704   1030.670   1320.600   S
BPY5191  CT0704    877.400   1272.000  FS
BQK6467  CT0918   1043.150   1261.200   S
BQO2065  CT0196   1379.720    921.000  FS
BRM6169  CT0587   1706.020   1096.500   N
BRO1992  CT0587   1703.160    556.500   N
BRZ1664  CT0150   1479.820   1072.200   S
BSB4445  CT0130   1503.870    953.400  FS
BSV7855  CT0196   1459.540   1039.800  FS
BSY3293  CT0176   1480.600    894.000  FS
BTA4915  CT0198   1673.390   1312.500  FN
BTB8608  CT0587   1711.480   1420.500   N
BTD8547  CT0918   1416.770    921.000  FS
BTE4061  CT0587   1706.800    736.500   N
BTU1278  CT0587    420.580   1446.600   S
BTZ7830  CT0587    734.530   1600.500  FN
BUD6438  CT0587   1681.320   1636.500   N
BUE3231  CT0587    401.210   1620.300  FN
BUR4147  CT0918   1104.770   1326.000   S
BUT9110  CT0587    491.300   1188.300  FN
BVD7036  CT0587   1716.160   1708.500  FN
BVX2044  CT0587   1677.940    628.500   N
BVX3958  CT0587   1684.570    916.500   N
BWJ1673  CT0587   1674.950   1276.500   N
BWL2564  CT0587    485.840   1177.500  FN
BWU1468  CT0587   1698.740   1204.500   N
BWU7973  CT0587   1698.350    664.500   N
BWV7982  CT0587   1712.130    988.500   N
BWW4534  CT0284   1377.770   1029.000  FS
BWX9534  CT0587    482.460   1215.300  FN
BXB0860  CT0196   1504.000   1066.800   S
BXD5238  CT0587   1699.650    520.500   N
BXI5882  CT0918   1504.260    877.800   S
BXL3106  CT0587   1714.470   1240.500  FN
BXM4562  CT0806   1468.250    937.200  FS
BXR4317  CT0198   1055.110   1255.800   S
BXU8673  CT0629   1669.750   1240.500   N
BXV1421  CT0587    485.450   1622.100  FN
BXW8948  CT0196   1012.080   1299.000   S
BXZ4155  CT0587   1685.870    880.500   N
BYF2896  CT0704   1409.620    948.000  FS
BYM1965  CT0587    645.610   1600.500  FN
BYY9459  CT0587    487.530   1229.700  FN
BZA5212  CT0182    968.530   1266.600   S
BZA6353  CT0839   1524.800    996.600   S
BZA7060  CT0587   1680.930    700.500   N
BZF8391  CT0918   1154.690   1320.600  FS
BZH9488  CT0064    979.320   1304.400  FS
BZN3447  CT0587   1713.690    988.500   N
CAA6779  CT0587   1715.510   1672.500  FN
CAB7611  CT0587    487.270   1605.900  FN
CAB9633  CT0587    452.170   1078.500  FN
CAE3867  CT0587   1682.620    664.500   N
CAJ8481  CT0587    655.360   1600.500  FN
CAL2550  CT0019   1722.010   1024.500  FN
CAM6140  CT0198   1673.390   1276.500  FN
CAN4812  CT0587   1686.910    988.500   N
CAX9369  CT0078   1410.530    921.000   S
CBA4483  CT0150   1537.540   1066.800  FS
CBH7110  CT0866   1177.700   1604.100  FN
CCF3922  CT0587    611.290   1600.500  FN
CCK1092  CT0064   1410.270   1002.000  FS
CCQ6349  CT0198   1379.590    926.400  FS
CCS4645  CT0806   1422.880    877.800   S
CCV9889  CT0623   1698.350   1543.800  FS
CCX3019  CT0704   1129.600   1353.000   S
CCY3791  CT0064   1392.460    921.000  FS
CCY7674  CT0704   1110.490   1266.600   S
CCZ7839  CT0198    842.300   1605.000  FS
CDK9807  CT0623   1604.880    976.800  FS
CDM7380  CT0623   1600.200    939.900  FN
CDT1089  CT0587    471.280   1177.500  FN
