cell_prop.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
  CNT          TYPE       Height     Width
------------------------------------------
    1         CT0954        0.9       0.78
    1         CT0664        0.9       0.78
    1         CT0971        0.9       0.65
    1         CT0120        0.9       0.52
    1         CT0237        0.9       0.39
    1         CT0463        0.9       1.30
    1         CT0572        0.9       0.78
    1         CT0965        0.9       0.91
    2         CT0821        0.9       0.78
    2         CT0391        0.9       0.78
    2         CT0496        0.9       0.91
    2         CT0425        0.9       1.17
    2         CT0350        0.9       0.78
    2         CT0430        0.9       0.91
    2         CT0700        0.9       0.65
    2         CT0118        0.9       1.43
    2         CT0424        0.9       1.04
    3         CT0129        0.9       0.91
    3         CT0233        0.9       0.78
    3         CT0650        0.9       0.65
    3         CT0071        0.9       0.52
    3         CT0626        0.9       0.78
    3         CT0919        0.9       4.29
    3         CT0576        0.9       2.21
    4         CT0267        0.9       0.78
    4         CT0657        0.9       0.78
    4         CT0819        0.9       0.91
    4         CT0921        0.9       3.51
    4         CT0866        0.9       0.52
    5         CT0855        0.9       0.78
    5         CT0734        0.9       0.52
    6         CT0248        0.9       3.64
    6         CT0218        0.9       0.78
    7         CT0115        0.9       1.17
    8         CT0887        0.9       1.43
    9         CT0597        0.9       2.86
    9         CT0794        0.9       0.78
   10         CT0337        0.9       2.08
   11         CT0103        0.9       1.04
   17         CT0176        0.9       0.78
   18         CT0631        0.9       0.65
   18         CT0802        0.9       2.08
   20         CT0845        0.9       3.25
   21         CT0806        0.9       0.91
   21         CT0284        0.9       0.65
   23         CT0031        0.9       0.52
   28         CT0130        0.9       0.65
   30         CT0847        0.9       1.17
   32         CT0306        0.9       0.65
   36         CT0078        0.9       0.39
   39         CT0196        0.9       0.78
   41         CT0019        0.9       2.86
   41         CT0182        0.9       0.52
   56         CT0629        0.9       2.34
   57         CT0561        0.9       0.52
   60         CT0589        0.9       2.21
   77         CT0150        0.9       1.04
   85         CT0064        0.9       0.65
  118         CT0623        0.9       2.99
  126         CT0900        0.9       0.65
  153         CT0839        0.9       0.52
  168         CT0918        0.9       0.39
  187         CT0198        0.9       1.17
  239         CT0704        0.9       1.04
 1456         CT0587        0.9       1.30
